,danceability,energy,loudness,speechiness,instrumentalness,valence,tempo,acousticness,key,mode,time_signature
56,0.624,0.662,-9.403,0.048,0.0172,0.393,124.029,0.0813,0,0,4
57,0.576,0.815,-7.088,0.0334,0.00661,0.039,124.975,0.00966,4,0,4
58,0.557,0.701,-12.102,0.0376,0.106,0.0352,121.981,0.0345,6,1,4
59,0.735,0.544,-10.687,0.229,0.193,0.251,120.958,0.774,8,1,4
60,0.637,0.441,-11.249,0.0324,0.683,0.0374,122.022,0.444,2,1,4
61,0.669,0.898,-6.696,0.0318,0.124,0.153,123.982,0.0019,0,0,4
62,0.697,0.624,-9.538,0.0523,0.743,0.0562,123.015,0.504,7,1,4
63,0.46,0.707,-8.303,0.324,0.0399,0.126,122.009,0.519,4,1,4
64,0.552,0.89,-6.458,0.0396,0.717,0.339,124.008,0.00891,2,1,4
65,0.625,0.838,-8.914,0.0392,0.926,0.0879,114.965,0.0052,11,1,4
66,0.622,0.855,-7.563,0.0345,0.824,0.0394,120.001,0.0498,0,1,4
67,0.631,0.501,-13.264,0.0728,0.736,0.564,194.105,0.855,5,0,4
68,0.715,0.718,-8.988,0.0508,0.0408,0.115,124.084,0.0637,7,0,4
69,0.631,0.808,-9.282,0.0385,0.417,0.29,120.012,0.00249,9,0,4
70,0.76,0.642,-8.01,0.037,0.369,0.338,117.992,0.257,0,1,4
71,0.41,0.884,-7.193,0.0321,0.026,0.114,123.948,0.000323,0,1,4
72,0.637,0.687,-8.63,0.041,0.704,0.0878,119.995,0.0587,11,1,4
73,0.34,0.823,-7.181,0.0455,0.668,0.0389,119.972,0.0854,4,1,4
74,0.815,0.644,-7.633,0.112,9.42e-05,0.441,124.051,0.563,10,1,4
75,0.517,0.389,-17.285,0.0389,0.385,0.0363,116.915,0.889,5,0,4
76,0.645,0.802,-10.666,0.0328,0.918,0.0389,123.97,0.702,7,1,4
77,0.823,0.547,-9.194,0.0598,0.414,0.429,120.02,0.428,1,1,4
78,0.65,0.559,-13.299,0.0747,0.744,0.68,181.962,0.681,8,0,4
79,0.855,0.576,-6.123,0.166,0.0313,0.434,120.072,0.0607,2,0,4
80,0.749,0.89,-8.328,0.0424,0.797,0.1,124.022,0.0669,2,1,4
81,0.63,0.664,-7.827,0.0465,0.0837,0.206,121.988,0.508,8,0,4
82,0.561,0.61,-9.055,0.0437,0.564,0.0761,122.025,0.153,7,0,4
83,0.697,0.689,-7.424,0.034,0.0715,0.168,119.988,0.106,2,1,4
84,0.464,0.691,-8.461,0.0653,0.00753,0.315,123.747,0.0578,1,1,4
85,0.612,0.92,-5.081,0.034,0.858,0.061,126.986,0.00351,3,0,4
86,0.672,0.668,-8.702,0.0314,0.857,0.184,123.997,0.183,8,1,4
87,0.605,0.674,-9.233,0.0308,0.0202,0.209,105.006,0.00222,2,1,4
88,0.59,0.876,-7.214,0.0356,0.904,0.186,124.018,0.0214,8,0,4
89,0.588,0.718,-7.925,0.035,0.336,0.157,121.964,0.824,2,1,4
90,0.591,0.712,-7.913,0.0367,0.843,0.63,114.997,0.102,9,0,4
91,0.625,0.777,-7.017,0.0329,0.335,0.0981,122.997,0.485,1,1,4
92,0.778,0.83,-6.061,0.143,0.118,0.773,129.035,0.0828,9,1,4
93,0.568,0.766,-6.945,0.34,0.0367,0.27,121.881,0.292,10,1,4
94,0.52,0.844,-7.687,0.0327,0.956,0.191,123.963,0.571,0,0,4
95,0.582,0.655,-8.817,0.029,0.124,0.0386,117.028,0.416,0,1,4
96,0.627,0.621,-11.703,0.0675,0.0295,0.0292,120.071,0.646,2,1,4
